% Model:              FEM_BEM_model_stl_FourProlSpheroids.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 20 2025, 09:51
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Evaluate in the domain at the given coordinates in Geometry 1 (Pa), Ps_Global_var_Point
18650                                             18650                                             -40.026348908351736                               -6.213990828163318E-5-1.8946420264065456E-4i
18800                                             18800                                             -40.7487229488886                                 -1.0666551941662661E-4-1.4929223235549127E-4i
18950                                             18950                                             -41.476218421950755                               -1.386801995142406E-4-9.613076975534263E-5i
19100                                             19100                                             -42.025295032405964                               -1.5468267960383475E-4-3.413197676505053E-5i
19250                                             19250                                             -42.17076947570854                                -1.525211173108998E-4+3.166168532331426E-5i
19400                                             19400                                             -41.79089642111626                                -1.3160422967123386E-4+9.572627621479146E-5i
19550                                             19550                                             -40.98112074939566                                -9.300611557477856E-5+1.525169293300488E-4i
19700                                             19700                                             -39.96294578419987                                -3.9442869709693795E-5+1.9694415968829482E-4i
19850                                             19850                                             -38.93114899487329                                2.4875878269992047E-5+2.2481749356650926E-4i
20000                                             20000                                             -38.00544965624253                                9.446997346768127E-5+2.3322017678273355E-4i
20150                                             20150                                             -37.25959907284288                                1.6274913881536568E-4+2.2066338734516577E-4i
20300                                             20300                                             -36.78773701043417                                2.212890884282226E-4+1.8665287657992913E-4i
20450                                             20450                                             -37.0647914366399                                 2.4990592306217696E-4+1.2718366551289773E-4i
20600                                             20600                                             -31.245805834972327                               5.025619343579923E-4+2.1835523254742917E-4i
20750                                             20750                                             -34.288795499629025                               3.839979676039107E-4+3.928818799514566E-5i
20900                                             20900                                             -34.63121025343389                                3.6914586838826535E-4-3.785394759192595E-5i
21050                                             21050                                             -34.925895082345704                               3.4300977907603114E-4-1.049393706880064E-4i
21200                                             21200                                             -35.34340903345789                                3.021481270563675E-4-1.5994007274899857E-4i
21350                                             21350                                             -35.94087493523227                                2.494401097904997E-4-1.990786786443266E-4i
21500                                             21500                                             -36.76290083203878                                1.8990328462709094E-4-2.1960316415359227E-4i
21650                                             21650                                             -37.864789551243156                               1.2943861874303852E-4-2.2055869762593883E-4i
21800                                             21800                                             -39.33050445358771                                7.407016450455828E-5-2.029299743981916E-4i
21950                                             21950                                             -41.30890693530243                                2.9174445359381185E-5-1.6953026175869912E-4i
22100                                             22100                                             -44.10361980591766                                -1.0643022468892482E-6-1.2469044806073803E-4i
22250                                             22250                                             -48.506058486849696                               -1.4061816811017369E-5-7.378711892780387E-5i
22400                                             22400                                             -58.27322121338174                                -9.07307117514744E-6-2.264910823179811E-5i
22550                                             22550                                             -57.60331747224512                                1.2803423763030342E-5+2.3036099676576605E-5i
22700                                             22700                                             -48.40573378178907                                4.8804392620949155E-5+5.824312836200107E-5i
22850                                             22850                                             -44.18804885006114                                9.478590538902765E-5+7.915247724765706E-5i
23000                                             23000                                             -41.52151825396983                                1.4565910043545793E-4+8.343438601698949E-5i
23150                                             23150                                             -39.649132547548774                               1.9598906799167537E-4+7.038481883658854E-5i
23300                                             23300                                             -38.27756248752011                                2.403919665368015E-4+4.101825458968644E-5i
23450                                             23450                                             -37.26260712700343                                2.7408605652773366E-4-2.0958734990861316E-6i
23600                                             23600                                             -36.5235645722979                                 2.9330578544967123E-4-5.5099824169735356E-5i
23750                                             23750                                             -36.01171489575545                                2.95616030196455E-4-1.1320758454269608E-4i
23900                                             23900                                             -35.696448537035096                               2.801081615995682E-4-1.711399619178655E-4i
24050                                             24050                                             -35.558268383557575                               2.4746420694116145E-4-2.235941386962148E-4i
24200                                             24200                                             -35.58518805426481                                1.9988587594260698E-4-2.6568998197029625E-4i
24350                                             24350                                             -35.77027005667591                                1.409043713836433E-4-2.9339287009544357E-4i
24500                                             24500                                             -36.11005598062688                                7.50830529009372E-5-3.0384832089458413E-4i
24650                                             24650                                             -36.60275480053839                                7.64104071876437E-6-2.9562913886305164E-4i
24800                                             24800                                             -37.245447023925536                               -5.597107734456319E-5-2.688721504843228E-4i
24950                                             24950                                             -38.028908525633234                               -1.1053074980782451E-4-2.2529556792882932E-4i
25100                                             25100                                             -38.92799847640034                                -1.5148857791991155E-4-1.6807752196434933E-4i
25250                                             25250                                             -39.88379866580147                                -1.7537660200606098E-4-1.0162552783499201E-4i
25400                                             25400                                             -40.77996056694641                                -1.8013621952228664E-4-3.123086023548716E-5i
25550                                             25550                                             -41.436118939611994                               -1.6534776569276932E-4+3.738392292307324E-5i
25700                                             25700                                             -41.671415449704384                               -1.3231603698304895E-4+9.856148900555528E-5i
25850                                             25850                                             -41.43641839192243                                -8.399834711181331E-5+1.472404074140954E-4i
26000                                             26000                                             -40.860344357761804                               -2.4772682199580842E-5+1.7943738245751462E-4i
26150                                             26150                                             -40.14206554905864                                3.995011217211575E-5+1.9265691332770452E-4i
26300                                             26300                                             -39.438990000936045                               1.0422825214129183E-4+1.8615087113205142E-4i
26450                                             26450                                             -38.84178605717241                                1.621764076206178E-4+1.6100983196398744E-4i
26600                                             26600                                             -38.39329855619817                                2.0856259461460303E-4+1.2003549514905121E-4i
26750                                             26750                                             -38.107760648432254                               2.393813044150872E-4+6.736948911034712E-5i
26900                                             26900                                             -37.97610462308204                                2.523592132433472E-4+7.76704977090148E-6i
27050                                             27050                                             -37.93940927071597                                2.4748139290037274E-4-5.513033609350071E-5i
27200                                             27200                                             -37.67153145317884                                2.2844985130932027E-4-1.272287788826043E-4i
27350                                             27350                                             -27.98345475126226                                -1.660454934493405E-4-7.802601838874379E-4i
27500                                             27500                                             -43.348533823887735                               1.1030455294014363E-4-7.958889052683826E-5i
27650                                             27650                                             -43.83896735169127                                6.890843255991097E-5-1.0852399265204316E-4i
27800                                             27800                                             -45.72635926931183                                2.2578235060077834E-5-1.0095155233047493E-4i
27950                                             27950                                             -48.568938884403686                               -1.7107235576130364E-5-7.2584513604812E-5i
28100                                             28100                                             -51.47470126618298                                -4.43010789229481E-5-2.9761409989448318E-5i
28250                                             28250                                             -50.54279009121542                                -5.5326196427785135E-5+2.1657862497748148E-5i
28400                                             28400                                             -46.95582543539607                                -4.849659118333349E-5+7.556933218055839E-5i
28550                                             28550                                             -43.86052763099311                                -2.410992427537284E-5+1.259472209645951E-4i
28700                                             28700                                             -41.50970545164628                                1.5704974340058353E-5+1.673558250516738E-4i
28850                                             28850                                             -39.71407402974219                                6.730438433527608E-5+1.9542829750784918E-4i
29000                                             29000                                             -38.3260893819587                                 1.259671511354421E-4+2.0722514262505598E-4i
29150                                             29150                                             -37.250798394487795                               1.864282295258035E-4+2.0143641354852804E-4i
29300                                             29300                                             -36.42733824925322                                2.4337576353028467E-4+1.784038326387849E-4i
29450                                             29450                                             -35.81565332511863                                2.919446091438349E-4+1.400019116303275E-4i
29600                                             29600                                             -35.38917378266885                                3.281124959443882E-4+8.939454526346591E-5i
29750                                             29750                                             -35.13044460105547                                3.490064460310305E-4+3.0705266430008926E-5i
29900                                             29900                                             -35.02885877524755                                3.5308577913129024E-4-3.136550285820494E-5i
30050                                             30050                                             -35.07932244303311                                3.402182517475705E-4-9.194183113514498E-5i
30200                                             30200                                             -35.28156716289504                                3.11648021882327E-4-1.4637615609958132E-4i
30350                                             30350                                             -35.64022335797012                                2.698530431686219E-4-1.9061173229428796E-4i
30500                                             30500                                             -36.16573973558095                                2.1832095632556836E-4-2.2147058254773366E-4i
30650                                             30650                                             -36.875188399990336                               1.6125737810029905E-4-2.369250848044402E-4i
30800                                             30800                                             -37.795466132638154                               1.0324260548827402E-4-2.3620706740579145E-4i
30950                                             30950                                             -38.96755134703997                                4.886505438406186E-5-2.19879235981435E-4i
31100                                             31100                                             -40.45508487049449                                2.348581735034383E-6-1.8977652843799042E-4i
31250                                             31250                                             -42.35936820452416                                -3.278392805655672E-5-1.4885956639010267E-4i
31400                                             31400                                             -44.843129686086066                               -5.400902082819403E-5-1.0098209394848734E-4i
31550                                             31550                                             -48.12455699617384                                -6.0023144285104024E-5-5.057229092797488E-5i
31700                                             31700                                             -51.88181086917966                                -5.087554911115122E-5-2.2659706614414077E-6i
31850                                             31850                                             -52.322752516203565                               -2.7987475953061836E-5+3.949390287050214E-5i
32000                                             32000                                             -48.982461355439                                  5.9389880091575975E-6+7.085765644077036E-5i
32150                                             32150                                             -45.963182768990094                               4.71358516961895E-5+8.894547293425425E-5i
32300                                             32300                                             -43.77095586011131                                9.109230776016553E-5+9.213498662474784E-5i
32450                                             32450                                             -42.19658910221138                                1.3296144632418683E-4+8.026564893159893E-5i
32600                                             32600                                             -41.07551136003278                                1.6802873862298284E-4+5.4697383337631855E-5i
32750                                             32750                                             -40.30720399269967                                1.9218829598255383E-4+1.8219760780091576E-5i
32900                                             32900                                             -39.831113008876734                               2.0236590902245055E-4-2.5183058685707138E-5i
33050                                             33050                                             -39.60980819811111                                1.9687860662459533E-4-7.070361721595031E-5i
33200                                             33200                                             -39.619871880365054                               1.7563597210279447E-4-1.1318527602044437E-4i
33350                                             33350                                             -39.8449667152921                                 1.4019163699280357E-4-1.4764825362356682E-4i
33500                                             33500                                             -40.26858379055792                                9.36315287999312E-5-1.698067394764191E-4i
33650                                             33650                                             -40.86377447706469                                4.027312374538239E-5-1.7653223724301004E-4i
33800                                             33800                                             -41.574006410952855                               -1.4750196530743942E-5-1.661980695346621E-4i
33950                                             33950                                             -42.283394212634036                               -6.601526308414041E-5-1.3887391518396797E-4i
34100                                             34100                                             -42.79421399125016                                -1.0835513315932133E-4-9.632990054320167E-5i
34250                                             34250                                             -42.875144288599934                               -1.3739873247753387E-4-4.1878269155581904E-5i
34400                                             34400                                             -42.42185268875388                                -1.5001250599322447E-4+1.9957886631782884E-5i
34550                                             34550                                             -41.555951612982376                               -1.4461521162412172E-4+8.391533754714686E-5i
34700                                             34700                                             -40.50597347041488                                -1.2132157340594141E-4+1.44506444442416E-4i
34850                                             34850                                             -39.455035843508924                               -8.191659839185128E-5+1.96564213840289E-4i
35000                                             35000                                             -38.503540279020115                               -2.964878358213685E-5+2.3574649801516578E-4i
35150                                             35150                                             -37.69615564796933                                3.1107286551701474E-5+2.5888653981887E-4i
35300                                             35300                                             -37.04684863127807                                9.528070314690495E-5+2.6434024996335737E-4i
35450                                             35450                                             -36.55855751291207                                1.5759351370131514E-4+2.520194709444423E-4i
35600                                             35600                                             -36.23026951616485                                2.1303450351434217E-4+2.23390164406978E-4i
35750                                             35750                                             -36.061350114165464                               2.5728735411906234E-4+1.812989181799729E-4i
35900                                             35900                                             -36.05349158697577                                2.870993701140079E-4+1.2968983630101683E-4i
36050                                             36050                                             -36.2124742860228                                 3.005215742293288E-4+7.32453950814671E-5i
36200                                             36200                                             -36.549520707733436                               2.970611789464006E-4+1.697688048474255E-5i
36350                                             36350                                             -37.08364597327397                                2.777014211021722E-4-3.420461920378148E-5i
36500                                             36500                                             -37.84541173825212                                2.448111560253152E-4-7.589766712623458E-5i
36650                                             36650                                             -38.88427149815754                                2.019376709139209E-4-1.0458546535896396E-4i
36800                                             36800                                             -40.28373071983927                                1.535073162637346E-4-1.179227807021066E-4i
36950                                             36950                                             -42.19907868769488                                1.0444662121639192E-4-1.148842912734871E-4i
37100                                             37100                                             -44.98661948185444                                5.9760801797981156E-5-9.548187754682136E-5i
37250                                             37250                                             -51.18571274316092                                2.5501691230722656E-5-4.8928239720025246E-5i
37400                                             37400                                             -56.367352432862894                               1.1551874221638059E-6-3.0363252282561426E-5i
37550                                             37550                                             -59.998959406285024                               -6.589152864333592E-6+1.888594499188656E-5i
37700                                             37700                                             -49.54573041469683                                2.1866723937113974E-6+6.660541739011983E-5i
37850                                             37850                                             -45.02424953360486                                2.685198743146433E-5+1.0889283666060123E-4i
