% Model:              FEM_BEM_model_stl_TwoProlSpheroids.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 9 2025, 23:19
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Evaluate in the domain at the given coordinates in Geometry 1 (Pa), Ps_Global_var_Point
42650                                             42650                                             -41.35028155354972                                1.2356514614647596E-4+1.185020492709965E-4i
42800                                             42800                                             -40.78907795495107                                1.8049219298676977E-4+2.78728598924749E-5i
42950                                             42950                                             -44.13002033407171                                1.1173575390371893E-4-5.449521099742949E-5i
43100                                             43100                                             -60.56839369579791                                1.122488210597572E-5-1.4997737262656408E-5i
43250                                             43250                                             -46.518371766163085                               1.6285238716273742E-5+9.301545095263819E-5i
43400                                             43400                                             -41.35158407764937                                1.1952492103384227E-4+1.2254013503576466E-4i
43550                                             43550                                             -40.79341713625687                                1.7928202115491398E-4+3.4336222233588565E-5i
43700                                             43700                                             -44.13948132141027                                1.1375451507883438E-4-4.980849551472488E-5i
43850                                             43850                                             -60.59534389625321                                1.1965077715947459E-5-1.4338621208698221E-5i
44000                                             44000                                             -46.550811342478546                               4.622714625535096E-6+9.396465140765198E-5i
44150                                             44150                                             -41.16488929598731                                1.3171501316150414E-4+1.1506764347990472E-4i
44300                                             44300                                             -40.72878618578037                                1.812761562633436E-4+3.097676891605783E-5i
44450                                             44450                                             -44.08940557335512                                1.1377546466134758E-4-5.152628588034336E-5i
44600                                             44600                                             -60.54488966661794                                1.1769087386093169E-5-1.4639776865443821E-5i
44750                                             44750                                             -46.482455979904174                               1.3115530794416408E-5+9.391014460446989E-5i
44900                                             44900                                             -41.3178297955061                                 1.1565096129423358E-4+1.2710537954829793E-4i
45050                                             45050                                             -40.75893643400243                                1.7876206768946412E-4+4.0382506229286186E-5i
45200                                             45200                                             -44.10192636691296                                1.1561589574060616E-4-4.677466569624755E-5i
45350                                             45350                                             -60.55740128208932                                1.2268738714849015E-5-1.41879355352037E-5i
45500                                             45500                                             -46.48236479853355                                9.96977130091059E-6+9.429700335239488E-5i
45650                                             45650                                             -41.316614195795864                               1.1155696673675886E-4+1.307449136955796E-4i
45800                                             45800                                             -40.75680233143188                                1.7747398307543794E-4+4.589245416475318E-5i
45950                                             45950                                             -44.099438263559435                               1.1700839911099603E-4-4.327647516733091E-5i
46100                                             46100                                             -60.55799418104425                                1.2687689250445722E-5-1.3812819363301365E-5i
46250                                             46250                                             -46.4772425232822                                 7.208215332343837E-6+9.460430148822141E-5i
