% Model:              FEM_BEM_model_stl_ThreeProlSpheroids.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 13 2025, 09:42
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Evaluate in the domain at the given coordinates in Geometry 1 (Pa), Ps_Global_var_Point
16250                                             16250                                             -40.39148506785672                                -9.154856882742646E-6-1.9096653415906495E-4i
16400                                             16400                                             -41.51113395575646                                -2.5704504922008375E-5-1.660861363750321E-4i
16550                                             16550                                             -42.858082648954095                               -3.630091915618472E-5-1.3926829940591468E-4i
16700                                             16700                                             -44.497322050742376                               -4.082722995812915E-5-1.1195725511037313E-4i
16850                                             16850                                             -46.535708659436395                               -3.951480525898887E-5-8.555780229746457E-5i
17000                                             17000                                             -49.1652589125561                                 -3.291687019135736E-5-6.135276195839978E-5i
17150                                             17150                                             -52.77207497387785                                -2.1866864610531334E-5-4.0430329671048426E-5i
17300                                             17300                                             -58.14468194303987                                -7.4193824876056524E-6-2.362494764507339E-5i
17450                                             17450                                             -62.66138962874734                                9.226111757021371E-6-1.1472134006429435E-5i
17600                                             17600                                             -57.355379394109576                               2.679232343733018E-5-4.191508105377828E-6i
17750                                             17750                                             -53.141840277402835                               4.401732752723486E-5-1.6752637312933416E-6i
17900                                             17900                                             -50.48210367671568                                5.972781614610456E-5-3.5089371146490578E-6i
18050                                             18050                                             -48.699080526061735                               7.291020812011384E-5-9.005309270615491E-6i
18200                                             18200                                             -47.477938303015904                               8.277459600675163E-5-1.725426641707717E-5i
18350                                             18350                                             -46.66325671571565                                8.879952329876595E-5-2.718735866136246E-5i
18500                                             18500                                             -46.17326426629656                                9.075880194542307E-5-3.764868990852044E-5i
18650                                             18650                                             -45.96486299351686                                8.873868919373473E-5-4.748274549914999E-5i
18800                                             18800                                             -46.02083469253107                                8.311969876390046E-5-5.559294103396617E-5i
18950                                             18950                                             -46.34361542072597                                7.45536500776911E-5-6.103252512767998E-5i
19100                                             19100                                             -46.95623175063769                                6.391715764603179E-5-6.305938467243699E-5i
19250                                             19250                                             -47.9088230105301                                 5.225080357751377E-5-6.118764572349278E-5i
19400                                             19400                                             -49.294689826563                                  4.0690244276719856E-5-5.5223581947982936E-5i
19550                                             19550                                             -51.28755516579619                                3.038767853591473E-5-4.528067057929519E-5i
19700                                             19700                                             -54.22171411501856                                2.243171441851377E-5-3.178035833095727E-5i
19850                                             19850                                             -58.585142370760835                               1.7768852054789175E-5-1.5437415844310465E-5i
20000                                             20000                                             -61.239654196595474                               1.711906493617743E-5+2.758752111531315E-6i
20150                                             20150                                             -56.48286693430109                                2.0867344757757866E-5+2.153095651125092E-5i
20300                                             20300                                             -52.299062212224655                               2.8783504526230796E-5+3.90818774892443E-5i
20450                                             20450                                             -49.983550877686895                               3.796056288019045E-5+5.073632421337404E-5i
20600                                             20600                                             -41.689651946358495                               1.0028466037387274E-4+1.3057878692757097E-4i
20750                                             20750                                             -43.42790929532087                                9.429977914610088E-5+9.630139962268913E-5i
20900                                             20900                                             -42.30489284844896                                1.170412949242916E-4+9.913909580883118E-5i
21050                                             21050                                             -41.20769870757262                                1.4326120891494654E-4+9.882098797719951E-5i
21200                                             21200                                             -40.25001000643664                                1.7046834718487114E-4+9.328928476737275E-5i
21350                                             21350                                             -39.43542957616444                                1.970205205848452E-4+8.207264897885924E-5i
21500                                             21500                                             -38.75296197918787                                2.2146016010593517E-4+6.526781438986884E-5i
21650                                             21650                                             -38.19108485830831                                2.424595284462594E-4+4.336168146945596E-5i
