% Model:              FEM_BEM_model_stl_TwoProlSpheroids.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 9 2025, 08:51
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Evaluate in the domain at the given coordinates in Geometry 1 (Pa), Ps_Global_var_Point
14000                                             14000                                             -45.41745611694744                                -6.986395735486539E-6-1.0696280110500389E-4i
14150                                             14150                                             -52.752177651463924                               -1.048495885824785E-5-4.486132957637334E-5i
14300                                             14300                                             -58.459267283357185                               2.2623535993193666E-5+7.649501476802989E-6i
14450                                             14450                                             -47.36955039033575                                7.97777432794966E-5+3.107294929727278E-5i
14600                                             14600                                             -43.06800949636501                                1.3946005598475253E-4+1.6937782531978307E-5i
14750                                             14750                                             -40.83568835596705                                1.7931109684410362E-4-2.90826294130353E-5i
14900                                             14900                                             -39.78428919284769                                1.8452517078332287E-4-8.937225038674335E-5i
15050                                             15050                                             -39.64415656866751                                1.5337630447376238E-4-1.410360308145009E-4i
15200                                             15200                                             -40.3814520025808                                 9.78119518852405E-5-1.6452778094733223E-4i
15350                                             15350                                             -42.162600180684244                               3.889643020066336E-5-1.509897618277023E-4i
15500                                             15500                                             -45.55261654626516                                -1.1610733688938168E-6-1.0552925780793476E-4i
15650                                             15650                                             -52.80090449664371                                -7.367724233597883E-6-4.5216250658786095E-5i
15800                                             15800                                             -58.54067941227441                                2.246854905257889E-5+7.410240112082356E-6i
15950                                             15950                                             -47.56468993068091                                7.700542868194216E-5+3.283464653047741E-5i
16100                                             16100                                             -43.257289609744085                               1.3570741771989914E-4+2.185878553895293E-5i
16250                                             16250                                             -41.01961726146611                                1.766012560053265E-4-2.1022104619627946E-5i
16400                                             16400                                             -39.96389924427103                                1.8448804947357456E-4-7.936022707699664E-5i
16550                                             16550                                             -39.819152308037246                               1.5664815814647737E-4-1.3100454360626124E-4i
16700                                             16700                                             -40.5503073885897                                 1.0377940445860379E-4-1.564266468162545E-4i
16850                                             16850                                             -42.32119342995013                                4.59155110809073E-5-1.460508491523127E-4i
17000                                             17000                                             -45.68799830664979                                4.853557272810338E-6-1.0379005484684178E-4i
17150                                             17150                                             -52.82425830849078                                -4.049249774540353E-6-4.5509784376118745E-5i
17300                                             17300                                             -58.61386255356203                                2.2383643635104367E-5+7.026133698850856E-6i
17450                                             17450                                             -47.78132251751824                                7.407068507686576E-5+3.435828757469839E-5i
17600                                             17600                                             -43.46507883813945                                1.3154950580746005E-4+2.6576677805700832E-5i
17750                                             17750                                             -41.22107827398878                                1.7328385434817184E-4-1.2996031493850424E-5i
17900                                             17900                                             -40.15998302577077                                1.8376981051482222E-4-6.915177779431847E-5i
18050                                             18050                                             -40.0098643511457                                 1.5930118040657915E-4-1.2055033385305336E-4i
18200                                             18200                                             -40.73422491940449                                1.0930078584048264E-4-1.4775525616783636E-4i
18350                                             18350                                             -42.493950944388075                               5.2714467589753955E-5-1.4052113702234248E-4i
18500                                             18500                                             -45.83467861985604                                1.0836126786872846E-5-1.0158727081843733E-4i
18650                                             18650                                             -52.84585044878423                                -7.018841121642083E-7-4.557072802102713E-5i
18800                                             18800                                             -58.71082518322776                                2.223740499468496E-5+6.613598272919852E-6i
18950                                             18950                                             -48.03588865822747                                7.083314066158586E-5+3.5637994995618705E-5i
19100                                             19100                                             -43.7122951806759                                 1.267057306529873E-4+3.099354495561535E-5i
19250                                             19250                                             -41.46587068053208                                1.6886351630024388E-4-5.134052918465137E-6i
19400                                             19400                                             -40.40659310291847                                1.8158259433348478E-4-5.876100255552963E-5i
19550                                             19550                                             -40.26199754478263                                1.6027264448653655E-4-1.094117833078112E-4i
19700                                             19700                                             -40.99593671473333                                1.1314371666731882E-4-1.3784545625161737E-4i
19850                                             19850                                             -42.770309273118485                               5.804422628080674E-5-1.3329355812685684E-4i
20000                                             20000                                             -46.129915630070144                               1.5659734312944984E-5-9.7499771450682E-5i
20150                                             20150                                             -53.13595386991211                                1.5858881058927743E-6-4.4050519745097994E-5i
20300                                             20300                                             -59.54763001038566                                1.9999528110492548E-5+6.628045169931873E-6i
20450                                             20450                                             -49.418350441450755                               5.849201083801825E-5+3.394016369506758E-5i
20600                                             20600                                             -40.07589089664647                                1.8556234083144663E-4+6.981195053645806E-5i
20750                                             20750                                             -40.82014968140433                                1.8188756228665337E-4+5.784448003365306E-6i
20900                                             20900                                             -40.06200422582595                                1.9240701985845376E-4-4.9117369717910364E-5i
