% Model:              FEM_BEM_model_stl_TwoProlSpheroids_1target.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 3 2025, 18:10
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Ps_Global_var_Point
56000                                             56000                                             -46.36053233194703                                0.003430896291739538+0.0033684959138136072i
56250                                             56250                                             -46.23280813189267                                0.001564163578682276-0.004621816524164965i
56500                                             56500                                             -46.227025461372115                               -0.004798031338978936+9.046614640517703E-4i
56750                                             56750                                             -46.225459674687926                               0.003150461381820624+0.0037313143425310447i
57000                                             57000                                             -46.22420249279274                                0.0016948194444643683-0.004580677369931009i
57250                                             57250                                             -46.222737658521766                               -0.004821854825942662+7.828036686585715E-4i
57500                                             57500                                             -46.220998810875614                               0.003058041368628195+0.003810643626428467i
57750                                             57750                                             -46.21895963780298                                0.001809179093104074-0.004539901384282329i
58000                                             58000                                             -46.21676513731761                                -0.004843150237837657+6.631749030150402E-4i
58250                                             58250                                             -46.21442756591985                                0.002964550557182921+0.0038884714866571635i
58500                                             58500                                             -46.21207336621109                                0.0019230604830444697-0.004497062678654935i
58750                                             58750                                             -46.209818873202344                               -0.004862003922967428+5.432067689770115E-4i
59000                                             59000                                             -46.20791346523565                                0.002869890105849926+0.003963381083155193i
59250                                             59250                                             -46.20698646527573                                0.0020328982306749843-0.004451639601060987i
59500                                             59500                                             -46.20953361190617                                -0.004873409091152303+4.3082677492756183E-4i
59750                                             59750                                             -46.259468459650684                               0.002811407159183932+0.003969645151197243i
60000                                             60000                                             -46.168499917222796                               0.002184824602236013-0.004403350361886803i
60250                                             60250                                             -46.17740739565993                                -0.004902430453576634+2.8217126553653493E-4i
60500                                             60500                                             -46.177375700708254                               0.0026641404086341636+0.004125042647012966i
60750                                             60750                                             -46.17561656803319                                0.0022759566864927194-0.0043524029507172775i
61000                                             61000                                             -46.17320146499962                                -0.0049101561001463345+1.6485162051549374E-4i
61250                                             61250                                             -46.17041840681611                                0.002563998515334176+0.004192635564076452i
61500                                             61500                                             -46.16754612109112                                0.002385580256780706-0.004298519167477794i
61750                                             61750                                             -46.16461036065036                                -0.004917602671722365+4.227332300876796E-5i
62000                                             62000                                             -46.16165143425958                                0.002460728993811112+0.004259800336769981i
62250                                             62250                                             -46.15865357245659                                0.002495135801527937-0.004241708947121564i
62500                                             62500                                             -46.1557302422359                                 -0.004922145589036919-8.116201184460436E-5i
62750                                             62750                                             -46.152865455578365                               0.002355514322491259+0.0043245401886382595i
63000                                             63000                                             -46.15008695666185                                0.0026032222464111854-0.004181967123638931i
63250                                             63250                                             -46.14732615450216                                -0.00492332993474176-2.04616599330798E-4i
63500                                             63500                                             -46.144804387804                                  0.00224867205859125+0.004386185433302714i
63750                                             63750                                             -46.14238235767371                                0.0027093008251766193-0.004119270655767313i
64000                                             64000                                             -46.1401698549399                                 -0.004920748544826048-3.2760131208897647E-4i
64250                                             64250                                             -46.1382244098606                                 0.0021404525281876197+0.004444147728921433i
64500                                             64500                                             -46.13660277096464                                0.0028125395136080478-0.004053479334199319i
64750                                             64750                                             -46.13544345577075                                -0.004913817037621726-4.4941503740680844E-4i
65000                                             65000                                             -46.13492296216559                                0.002031181498240997+0.004497198201203201i
65250                                             65250                                             -46.135223868136414                               0.002911378832970435-0.00398405272770473i
65500                                             65500                                             -46.13681030520824                                -0.004900684928410559-5.685044532022232E-4i
65750                                             65750                                             -46.1404085913522                                 0.001921476005042888+0.004541770789362465i
66000                                             66000                                             -46.14744707029118                                0.003000169282330045-0.003908881407210476i
66250                                             66250                                             -46.16110429834719                                -0.004872807770567311-6.78144255633617E-4i
66500                                             66500                                             -46.19087770264951                                0.001813886966708922+0.00455506129287131i
66750                                             66750                                             -46.2797333991614                                 0.003019503980772331-0.0037992807595870664i
67000                                             67000                                             -48.1956916088381                                 -0.003873575763935211-3.8215955457387984E-4i
67250                                             67250                                             -45.866336804479076                               0.0017022845347214322+0.004796477544255495i
67500                                             67500                                             -46.017912863830055                               0.0032101274607843067-0.00383543405257357i
67750                                             67750                                             -45.856900158578675                               -0.004950698607222859-0.0012045330515075836i
68000                                             68000                                             -45.97187547722111                                0.00152224516049293+0.004792163327493881i
68250                                             68250                                             -45.988564774072344                               0.0033986353602744046-0.003692474587925521i
68500                                             68500                                             -45.984248768181246                               -0.004890177155972286-0.0011385515309270122i
68750                                             68750                                             -45.51679041060824                                0.0011940513586772283+0.005162297796479365i
69000                                             69000                                             -46.05297226672266                                0.0034290121019520114-0.0036133389772247094i
