% Model:              FEM_BEM_model_stl_ThreeProlSpheroids.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 10 2025, 15:17
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Evaluate in the domain at the given coordinates in Geometry 1 (Pa), Ps_Global_var_Point
14900                                             14900                                             -38.01165854817417                                2.481390198260103E-4+4.065462094593464E-5i
15050                                             15050                                             -36.3993471669586                                 1.4712241872233411E-4-2.6458169932486175E-4i
15200                                             15200                                             -47.54716736023349                                -5.2821756250209795E-5-6.516244598497867E-5i
15350                                             15350                                             -45.772377854115234                               9.28607566827444E-5-4.4329240587615004E-5i
15500                                             15500                                             -71.28091534126419                                5.441813612450108E-6-4.1190494581844206E-7i
15650                                             15650                                             -38.07185284650106                                2.454887541270545E-4+4.572486284482036E-5i
15800                                             15800                                             -36.46085502032176                                1.5178385937625327E-4-2.594634838907206E-4i
15950                                             15950                                             -47.612591687616586                               -5.0996938310676754E-5-6.580570539160835E-5i
16100                                             16100                                             -45.83427033986344                                9.31494055272375E-5-4.197099892844225E-5i
16250                                             16250                                             -71.32842460672111                                5.421326072285737E-6-2.6113550688489084E-7i
16400                                             16400                                             -38.13385645124042                                2.4268115568376603E-4+5.0768420023827865E-5i
16550                                             16550                                             -36.524388018289045                               1.5634559336086262E-4-2.5417207629430116E-4i
16700                                             16700                                             -47.6791657554172                                 -4.914579782899775E-5-6.641032401821789E-5i
16850                                             16850                                             -45.89767272979182                                9.337688164784419E-5-3.959611359716231E-5i
17000                                             17000                                             -71.39072624146291                                5.387609298967977E-6-1.1422728418697403E-7i
17150                                             17150                                             -38.19786550730315                                2.3971286620561028E-4+5.5766968169668196E-5i
17300                                             17300                                             -36.590151701398185                               1.6078001828412347E-4-2.4871453386132725E-4i
17450                                             17450                                             -47.748475431393274                               -4.726281046613101E-5-6.696118708227061E-5i
17600                                             17600                                             -45.96554544401503                                9.351556488834678E-5-3.718082343251439E-5i
17750                                             17750                                             -71.43567416584798                                5.360833204515192E-6+4.303373968284063E-8i
17900                                             17900                                             -38.26659018399247                                2.365124028697041E-4+6.0688705636691154E-5i
18050                                             18050                                             -36.66136958029039                                1.6501323968959314E-4-2.4300862731163608E-4i
18200                                             18200                                             -47.823310589649424                               -4.53427288926167E-5-6.7430326586293E-5i
18350                                             18350                                             -46.038754257732776                               9.354576236403345E-5-3.474875061415528E-5i
18500                                             18500                                             -71.50110298244209                                5.3174587861248845E-6+1.8780957333763837E-7i
18650                                             18650                                             -38.344574036193684                               2.329726227103257E-4+6.545198222829285E-5i
18800                                             18800                                             -36.743787309122354                               1.688751365689911E-4-2.3694255070749737E-4i
18950                                             18950                                             -47.91240466326337                                -4.335852060655121E-5-6.774050595725889E-5i
19100                                             19100                                             -46.12997746762949                                9.33243448911214E-5-3.227786418480427E-5i
19250                                             19250                                             -71.59390261391015                                5.254104366136936E-6+3.2635252356083555E-7i
19400                                             19400                                             -38.451908187847216                               2.2860678196029438E-4+6.978244909694453E-5i
19550                                             19550                                             -36.865015627284365                               1.7166818193226074E-4-2.2991323294607735E-4i
19700                                             19700                                             -48.05408916292072                                -4.12016351540867E-5-6.755391571966474E-5i
