% Model:              FEM_BEM_model_stl_FourProlSpheroids.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 14 2025, 11:13
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Evaluate in the domain at the given coordinates in Geometry 1 (Pa), Ps_Global_var_Point
25250                                             25250                                             -45.7384732413266                                 8.179839803745814E-5-6.308888589690032E-5i
25400                                             25400                                             -46.20116059436609                                6.776431982874476E-5-7.07160855235589E-5i
25550                                             25550                                             -47.19076003119103                                5.08542242010912E-5-7.107688869800732E-5i
25700                                             25700                                             -48.82161164797282                                3.4307823216228606E-5-6.379518333587963E-5i
25850                                             25850                                             -51.35656281589691                                2.1184740777169253E-5-4.9780303552515726E-5i
26000                                             26000                                             -55.38825300979362                                1.3898209257956484E-5-3.1041535837439405E-5i
26150                                             26150                                             -61.263366327477335                               1.3856892293107048E-5-1.0345165824876545E-5i
26300                                             26300                                             -58.715155355969735                               2.1268359600312703E-5+9.239174823427732E-6i
26450                                             26450                                             -53.34862492478691                                3.513648038377948E-5+2.4810028738220247E-5i
26600                                             26600                                             -49.980169058131054                               5.344319543698628E-5+3.409005131460585E-5i
26750                                             26750                                             -47.770923542291754                               7.3527664399331E-5+3.57298715848442E-5i
26900                                             26900                                             -46.268793528576325                               9.26310885841497E-5+2.93941778445328E-5i
27050                                             27050                                             -45.20162526684726                                1.088178370486359E-4+1.5295928312286655E-5i
27200                                             27200                                             -44.11596384603247                                1.2416671013781855E-4-9.34540710617604E-6i
27350                                             27350                                             -33.643349321915025                               2.6776191534294558E-5-4.149158900814687E-4i
27500                                             27500                                             -48.958757162125465                               7.125353429199288E-5+2.58551753806735E-6i
27650                                             27650                                             -49.21066303263458                                6.780653837873407E-5-1.4125796141017943E-5i
27800                                             27800                                             -51.232362175313675                               5.2387410938270484E-5-1.6350622079053245E-5i
27950                                             27950                                             -55.004358380993594                               3.473410061305415E-5-7.562046579145942E-6i
28100                                             28100                                             -58.88103979147132                                1.9796091279722372E-5+1.1210226513402866E-5i
28250                                             28250                                             -54.00689581764881                                1.1567939953049944E-5+3.8158681352706836E-5i
28400                                             28400                                             -48.92428876814367                                1.3144501047890333E-5+7.036676479132975E-5i
28550                                             28550                                             -45.40886396239857                                2.6415031096571617E-5+1.0399447529163552E-4i
28700                                             28700                                             -42.83362716143539                                5.18125988069329E-5+1.3470649042401917E-4i
28850                                             28850                                             -40.86211202441726                                8.819159848577618E-5+1.5817822148023186E-4i
29000                                             29000                                             -39.31929106073857                                1.3292097179046225E-4+1.7064474164985022E-4i
29150                                             29150                                             -38.105168742934566                               1.8214702682567419E-4+1.6941498296585422E-4i
29300                                             29300                                             -37.159163433793665                               2.312207094241625E-4+1.5321707363480375E-4i
29450                                             29450                                             -36.44248334784668                                2.7523695446995955E-4+1.224226709973797E-4i
29600                                             29600                                             -35.930131583821755                               3.0960601388296816E-4+7.905108867667376E-5i
29750                                             29750                                             -35.6059194089499                                 3.306241531048082E-4+2.6584955999831017E-5i
29900                                             29900                                             -35.460681430457335                               3.3590965831015174E-4-3.041865755115669E-5i
30050                                             30050                                             -35.49072920776851                                3.247111122151036E-4-8.682696348660812E-5i
30200                                             30200                                             -35.6970507056731                                 2.980232889759904E-4-1.375378096376556E-4i
30350                                             30350                                             -36.086000009006476                               2.584638953624929E-4-1.7805000366066803E-4i
30500                                             30500                                             -36.66951803341135                                2.0998066314126262E-4-2.0500962755065633E-4i
30650                                             30650                                             -37.467231486229934                               1.573691335949312E-4-2.1657530580776463E-4i
30800                                             30800                                             -38.50947907032753                                1.0570019202843506E-4-2.1261651730308806E-4i
30950                                             30950                                             -39.84336396168012                                5.971106419527805E-5-1.9468844831760368E-4i
31100                                             31100                                             -41.54467107361101                                2.3252401811335588E-5-1.6579317186027343E-4i
