% Model:              FEM_BEM_model_stl_TwoProlSpheroids.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 7 2025, 21:53
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Evaluate in the domain at the given coordinates in Geometry 1 (Pa), Ps_Global_var_Point
23450                                             23450                                             -41.000743246483324                               1.26310727671608E-4-1.2575091376687553E-4i
23600                                             23600                                             -41.28223100652648                                1.1562069542658815E-4-1.2808526331042902E-4i
23750                                             23750                                             -41.607723426466336                               1.0467836574240552E-4-1.2909883288847457E-4i
23900                                             23900                                             -41.98058168421791                                9.364431359693004E-5-1.2877163991176221E-4i
24050                                             24050                                             -42.404899232924905                               8.268221468149539E-5-1.27103491636249E-4i
24200                                             24200                                             -42.885784692435124                               7.195307665297523E-5-1.2411473706763765E-4i
24350                                             24350                                             -43.429724894355914                               6.161496968648539E-5-1.1984327439529263E-4i
24500                                             24500                                             -44.04476044788822                                5.182024262745388E-5-1.1434889110006896E-4i
24650                                             24650                                             -44.74151043914561                                4.271185829107793E-5-1.0770576528706943E-4i
24800                                             24800                                             -45.53366309209386                                3.4423473019074E-5-1.0000755207029144E-4i
24950                                             24950                                             -46.43968016914128                                2.7075908621887468E-5-9.136204491000388E-5i
25100                                             25100                                             -47.48503140146772                                2.077640563280525E-5-8.189027606686494E-5i
25250                                             25250                                             -48.706121720007204                               1.5616141356644686E-5-7.172438318481245E-5i
25400                                             25400                                             -50.15698472064719                                1.1671087815079417E-5-6.10063886402612E-5i
25550                                             25550                                             -51.92197901549455                                8.999867581793719E-6-4.988568999853005E-5i
25700                                             25700                                             -54.13991795376066                                7.644079502544532E-6-3.851636806717629E-5i
25850                                             25850                                             -57.043646127455496                               7.628622493982551E-6-2.7054174281948562E-5i
26000                                             26000                                             -60.89595519732259                                8.96302542463534E-6-1.565564865202429E-5i
26150                                             26150                                             -64.10039572485742                                1.164411404164234E-5-4.474202394244564E-6i
26300                                             26300                                             -61.464815156201084                               1.5660817486051748E-5+6.341973517454136E-6i
26450                                             26450                                             -57.4568996632275                                 2.1002881707532506E-5+1.6651879253926083E-5i
26600                                             26600                                             -54.37896674718888                                2.7680362964743743E-5+2.6327940619186307E-5i
26750                                             26750                                             -52.00185086730664                                3.577209208699417E-5+3.525778544355429E-5i
26900                                             26900                                             -50.047913972379206                               4.556340831252115E-5+4.335998117233064E-5i
27050                                             27050                                             -48.28521010779078                                5.8090071664462783E-5+5.0617782242357023E-5i
27200                                             27200                                             -46.24960064183508                                7.880737755427969E-5+5.723429348114539E-5i
27350                                             27350                                             -32.380432091757555                               4.483707703493156E-4-1.737212302639346E-4i
27500                                             27500                                             -48.126687250832695                               5.04644005510646E-5+6.0088749166964384E-5i
27650                                             27650                                             -46.211661893667255                               7.376475263431992E-5+6.425232790363555E-5i
27800                                             27800                                             -45.17032381340711                                8.851859504022119E-5+6.57806319932508E-5i
27950                                             27950                                             -44.39199520281068                                1.0112270174739146E-4+6.575800094854589E-5i
28100                                             28100                                             -43.755602671701446                               1.1269862631679839E-4+6.438270881403696E-5i
28250                                             28250                                             -43.217213222310626                               1.235192200783053E-4+6.174523709057134E-5i
28400                                             28400                                             -42.75530692846846                                1.3362151334406214E-4+5.7920081932394396E-5i
28550                                             28550                                             -42.35732071623599                                1.429599991985553E-4+5.298444434220784E-5i
28700                                             28700                                             -42.01494745926513                                1.5145971753516285E-4+4.70269328111117E-5i
28850                                             28850                                             -41.72232544002618                                1.5903707885922547E-4+4.0148023365937924E-5i
29000                                             29000                                             -41.475290414135586                               1.6560783000035828E-4+3.245695844655838E-5i
29150                                             29150                                             -41.270629483673574                               1.7109635506312726E-4+2.407613349797444E-5i
29300                                             29300                                             -41.1059180835953                                 1.754380087726215E-4+1.5136288150086052E-5i
29450                                             29450                                             -40.97932156331665                                1.7858172406620687E-4+5.774260603108594E-6i
29600                                             29600                                             -40.88947847781949                                1.8049140963050103E-4-3.864711289436329E-6i
29750                                             29750                                             -40.835457765148305                               1.811466704030873E-4-1.3634687122232592E-5i
29900                                             29900                                             -40.81669142674003                                1.8054362552738512E-4-2.338643614241409E-5i
30050                                             30050                                             -40.83291638864487                                1.7869606344628197E-4-3.297050486261721E-5i
30200                                             30200                                             -40.88412910572471                                1.7563574558082662E-4-4.22414426387574E-5i
30350                                             30350                                             -40.97070992977848                                1.714097789498048E-4-5.105710955322085E-5i
30500                                             30500                                             -41.093278765396306                               1.660831813010133E-4-5.9281972178859554E-5i
30650                                             30650                                             -41.25284623484835                                1.5973512437544857E-4-6.678926960124176E-5i
30800                                             30800                                             -41.4507029770631                                 1.5246094777704444E-4-7.346263950480658E-5i
30950                                             30950                                             -41.68862852042152                                1.4436749626201006E-4-7.919752210094888E-5i
31100                                             31100                                             -41.96876098462447                                1.355758001843066E-4-8.390286617665499E-5i
31250                                             31250                                             -42.293867718201135                               1.2621460959177933E-4-8.750371510979349E-5i
31400                                             31400                                             -42.667386230128514                               1.1642202860651096E-4-8.993945771451628E-5i
31550                                             31550                                             -43.093503207306405                               1.0634313215535096E-4-9.116808747788863E-5i
31700                                             31700                                             -43.577548343269406                               9.612532836061893E-5-9.116498361361192E-5i
31850                                             31850                                             -44.12617601004289                                8.591880759423187E-5-8.992358710380177E-5i
32000                                             32000                                             -44.747816920162535                               7.587415250726037E-5-8.745551646449634E-5i
32150                                             32150                                             -45.45341643431267                                6.613777205660698E-5-8.379081418607992E-5i
32300                                             32300                                             -46.25727142742397                                5.685283557077536E-5-7.897709514748108E-5i
32450                                             32450                                             -47.17870274655748                                4.8154070072248256E-5-7.307870249306792E-5i
32600                                             32600                                             -48.244263452529694                               4.016863176176111E-5-6.617653900187204E-5i
32750                                             32750                                             -49.49212801299379                                3.301101410813079E-5-5.836513675683275E-5i
32900                                             32900                                             -50.97887477031027                                2.678464745559106E-5-4.975327666112417E-5i
33050                                             33050                                             -52.79289333131737                                2.157844286987398E-5-4.0460333353919964E-5i
33200                                             33200                                             -55.077933382683725                               1.746560799603669E-5-3.0616457058263435E-5i
33350                                             33350                                             -58.06298424645035                                1.4503261857701233E-5-2.035890356888448E-5i
33500                                             33500                                             -61.892307739311086                               1.2731339444238543E-5-9.830184546255616E-6i
33650                                             33650                                             -64.29366028366286                                1.217183923951648E-5+8.231175612216646E-7i
33800                                             33800                                             -61.311300676873984                               1.2828684391563705E-5+1.1453312959597284E-5i
33950                                             33950                                             -57.59461496588721                                1.46881665845644E-5+2.1914391227562113E-5i
34100                                             34100                                             -54.743316919458216                               1.7720067319759725E-5+3.206125989041464E-5i
34250                                             34250                                             -52.552836969313496                               2.1875008308414046E-5+4.175702297215533E-5i
34400                                             34400                                             -50.80718911558441                                2.7089101709565355E-5+5.086976264412346E-5i
34550                                             34550                                             -49.37271608928852                                3.3282854826233166E-5+5.9277392864709455E-5i
34700                                             34700                                             -48.166975668515136                               4.036231914389399E-5+6.686808621914064E-5i
34850                                             34850                                             -47.136628146480916                               4.822212656813152E-5+7.354251839686299E-5i
35000                                             35000                                             -46.2456585268847                                 5.674498665286798E-5+7.921482395345514E-5i
35150                                             35150                                             -45.46873859628021                                6.580510165371534E-5+8.381325832629294E-5i
35300                                             35300                                             -44.78742498947554                                7.526863592965949E-5+8.728278484593233E-5i
35450                                             35450                                             -44.18808163591847                                8.499550966073466E-5+8.958309400253217E-5i
35600                                             35600                                             -43.66021988943778                                9.484291892386532E-5+9.069185875754116E-5i
35750                                             35750                                             -43.195815907003904                               1.0466468808589813E-4+9.060331439114666E-5i
35900                                             35900                                             -42.788604390318                                  1.1431441695974875E-4+8.932898333902095E-5i
36050                                             36050                                             -42.43379260577176                                1.236453952672134E-4+8.68965360706353E-5i
36200                                             36200                                             -42.127725515089026                               1.3251233056743583E-4+8.335064048980989E-5i
36350                                             36350                                             -41.86784954526377                                1.4076949871838496E-4+7.875287788139396E-5i
36500                                             36500                                             -41.65286062490094                                1.4826649335475395E-4+7.318127853173095E-5i
36650                                             36650                                             -41.48341656270421                                1.548332375517214E-4+6.672958593412215E-5i
36800                                             36800                                             -41.36394442111579                                1.6023990018287915E-4+5.951628263300979E-5i
36950                                             36950                                             -41.31060593655603                                1.64033105549799E-4+5.17032293405606E-5i
37100                                             37100                                             -41.39967075088795                                1.645415397266703E-4+4.365451912557994E-5i
37250                                             37250                                             -43.3799719245727                                 1.282847440588486E-4+4.3715714531322725E-5i
37400                                             37400                                             -40.436856168524315                               1.8876873638790093E-4+2.3206000081654743E-5i
37550                                             37550                                             -40.74910278662205                                1.829165414998224E-4+1.4293292722955542E-5i
37700                                             37700                                             -40.88877174578246                                1.8047837029755431E-4+4.994694661752952E-6i
37850                                             37850                                             -41.01833559142874                                1.77822768651692E-4-4.281508268921819E-6i
38000                                             38000                                             -41.166110386154735                               1.74364095546109E-4-1.3340537769246374E-5i
38150                                             38150                                             -41.34173035365029                                1.6995176748818563E-4-2.202833926590042E-5i
38300                                             38300                                             -41.550027492759654                               1.6456271244752463E-4-3.0209539887304793E-5i
38450                                             38450                                             -41.79432032017064                                1.5822893565226037E-4-3.7761442051031935E-5i
38600                                             38600                                             -42.0774723860777                                 1.510138321658694E-4-4.4574548763498534E-5i
38750                                             38750                                             -42.40225231390078                                1.4300178042453426E-4-5.055842289192203E-5i
38900                                             38900                                             -42.77144324889376                                1.3429235843759324E-4-5.5644848630742594E-5i
39050                                             39050                                             -43.18755663884573                                1.2499537189419874E-4-5.9802123705376964E-5i
39200                                             39200                                             -43.6517459068171                                 1.1522233523170167E-4-6.306852569859522E-5i
39350                                             39350                                             -44.15930627997697                                1.0506928989173492E-4-6.565962225968391E-5i
39500                                             39500                                             -44.67641911119429                                9.452459643610744E-5-6.850299233340795E-5i
39650                                             39650                                             -44.836056101008026                               8.208576003537749E-5-7.998539294395979E-5i
39800                                             39800                                             -47.31082477785601                                7.668746074479538E-5-3.9355305113231154E-5i
39950                                             39950                                             -47.698920032550866                               6.599859883482662E-5-4.938470403115236E-5i
40100                                             40100                                             -48.668407827868734                               5.63115631186939E-5-4.758417701544726E-5i
40250                                             40250                                             -49.88860324560562                                4.729858391011588E-5-4.320614928199351E-5i
40400                                             40400                                             -51.376181063910444                               3.899650125804843E-5-3.732228696839979E-5i
40550                                             40550                                             -53.2114163025399                                 3.149514622780014E-5-3.029108847640849E-5i
40700                                             40700                                             -55.53801451016507                                2.4889368722469385E-5-2.231698123345005E-5i
40850                                             40850                                             -58.57720849317411                                1.9265333927875883E-5-1.3561190944311186E-5i
41000                                             41000                                             -62.33852087000099                                1.4698667091639361E-5-4.172136790492331E-6i
41150                                             41150                                             -64.00421514547352                                1.124982156441856E-5+5.703499024622971E-6i
41300                                             41300                                             -60.78642692986429                                8.963457109767425E-6+1.5918648847312866E-5i
41450                                             41450                                             -57.24177453487578                                7.867702710717683E-6+2.632465160445907E-5i
41600                                             41600                                             -54.51057186473105                                7.972184382754044E-6+3.677291394410531E-5i
41750                                             41750                                             -52.392290454395656                               9.270411865658357E-6+4.71159091972595E-5i
41900                                             41900                                             -50.69232639086345                                1.1737286015056636E-5+5.7208470855329985E-5i
42050                                             42050                                             -49.28832148154848                                1.5331135978680077E-5+6.691189028973366E-5i
42200                                             42200                                             -48.10390785467081                                1.9993136178175774E-5+7.609184505530386E-5i
42350                                             42350                                             -47.088919913643906                               2.5649181580600366E-5+8.462518371488148E-5i
42500                                             42500                                             -46.2092923806702                                 3.2210456795689346E-5+9.239756192069848E-5i
42650                                             42650                                             -45.4408659917998                                 3.9573686533400654E-5+9.930763564813816E-5i
42800                                             42800                                             -44.76595176303179                                4.762354464199481E-5+1.0526866732119E-4i
42950                                             42950                                             -44.171346532584714                               5.6232578224402197E-5+1.102095268723513E-4i
43100                                             43100                                             -43.6468664045811                                 6.526300549164477E-5+1.1407875332802853E-4i
43250                                             43250                                             -43.18474974597198                                7.45626347064543E-5+1.1684589753346852E-4i
43400                                             43400                                             -42.77887976920728                                8.396100539498352E-5+1.1851238135651698E-4i
43550                                             43550                                             -42.42445735734792                                9.32517094388019E-5+1.1913209705294303E-4i
43700                                             43700                                             -42.11820345849412                                1.0212096386313929E-4+1.188778651345368E-4i
43850                                             43850                                             -41.8583394539577                                 1.0980274147565083E-4+1.1839958514980875E-4i
44000                                             44000                                             -41.627343036726536                               1.1046066071707106E-4+1.2368507912796645E-4i
44150                                             44150                                             -41.29197444624515                                1.4332837808306298E-4+9.572999833251661E-5i
44300                                             44300                                             -41.24516430507243                                1.4310550779028652E-4+9.772409989339259E-5i
44450                                             44450                                             -41.147066186481226                               1.4851843786911623E-4+9.304555545852633E-5i
44600                                             44600                                             -41.07488660285077                                1.5399997779536045E-4+8.668310024761983E-5i
44750                                             44750                                             -41.03439702583016                                1.5884328468185327E-4+7.931761748725119E-5i
44900                                             44900                                             -41.02683056289085                                1.6280216537684078E-4+7.122426653149994E-5i
45050                                             45050                                             -41.052658040012695                               1.657487124560042E-4+6.259050946999523E-5i
